Sl no.,DistrictName,MarketName,Commodity,Variety,Grade,min_price,max_price,modal_price,PriceDate
38,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,23-Mar-19
39,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,06-Mar-19
40,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,23-Feb-19
41,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,31-Dec-18
42,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,16-Nov-18
43,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,27-Oct-18
44,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,17-Oct-18
45,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,10-Oct-18
46,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,02-Aug-18
47,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,01-Aug-18
48,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,21-Dec-17
49,Hassan,Arasikere,Tomato,Tomato,FAQ,1500,1500,1500,25-Nov-17
50,Hassan,Arasikere,Tomato,Tomato,FAQ,1500,1500,1500,24-Nov-17
51,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,08-Mar-17
52,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,02-Aug-16
53,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,30-Jul-16
54,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,26-Jul-16
55,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,23-Jul-16
56,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,1500,02-Jul-16
57,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,3600,2000,27-Jun-16
58,Hassan,Arasikere,Tomato,Tomato,FAQ,4000,4000,4000,22-Jun-16
59,Hassan,Arasikere,Tomato,Tomato,FAQ,3000,3000,3000,13-Jun-16
60,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,30-Apr-16
61,Hassan,Arasikere,Tomato,Tomato,FAQ,4000,4000,4000,27-Feb-16
62,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,24-Feb-16
63,Hassan,Arasikere,Tomato,Tomato,FAQ,5000,5000,5000,06-Feb-16
64,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,23-Jan-16
65,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,19-Jan-16
66,Hassan,Arasikere,Tomato,Tomato,FAQ,5000,5000,5000,08-Jan-16
67,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,2000,02-Jan-16
68,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,29-Dec-15
69,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,2000,22-Dec-15
70,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,21-Dec-15
71,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,03-Dec-15
72,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,01-Dec-15
73,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,5000,3000,17-Nov-15
74,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,1500,15-Jul-15
75,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1500,1200,06-Jul-15
76,Hassan,Arasikere,Tomato,Tomato,FAQ,1400,2000,1600,28-May-15
77,Hassan,Arasikere,Tomato,Tomato,Medium,1200,3000,1800,27-May-15
78,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,1400,26-May-15
79,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1600,1500,23-May-15
80,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,20-May-15
81,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,1500,14-May-15
82,Hassan,Arasikere,Tomato,Tomato,FAQ,1500,2000,1750,29-Apr-15
83,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1500,1250,27-Apr-15
84,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,2000,1600,25-Apr-15
85,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,3000,2300,06-Apr-15
86,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,06-Feb-15
87,Hassan,Arasikere,Tomato,Tomato,Medium,300,1000,1000,31-Jan-15
88,Hassan,Arasikere,Tomato,Tomato,Medium,300,1000,300,30-Jan-15
89,Hassan,Arasikere,Tomato,Tomato,Medium,1000,2000,1000,27-Jan-15
90,Hassan,Arasikere,Tomato,Tomato,Medium,1000,3100,3000,23-Jan-15
91,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,22-Jan-15
92,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,19-Jan-15
93,Hassan,Arasikere,Tomato,Tomato,Medium,600,1000,600,16-Jan-15
94,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,12-Jan-15
95,Hassan,Arasikere,Tomato,Tomato,Medium,1000,2000,1000,09-Jan-15
96,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,08-Jan-15
97,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,06-Jan-15
98,Hassan,Arasikere,Tomato,Tomato,FAQ,800,1000,1000,05-Jan-15
99,Hassan,Arasikere,Tomato,Tomato,Medium,1000,1000,1000,03-Jan-15
100,Hassan,Arasikere,Tomato,Tomato,Medium,1000,3000,1500,01-Jan-15
101,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,650,1300,950,01-Feb-21
102,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,650,1300,920,30-Jan-21
103,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1200,900,28-Jan-21
104,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,550,1100,835,27-Jan-21
105,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,520,1100,815,25-Jan-21
106,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,550,1100,815,23-Jan-21
107,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,520,1100,790,21-Jan-21
108,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,480,1000,742,20-Jan-21
109,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,1100,865,19-Jan-21
110,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1020,715,18-Jan-21
111,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1100,795,16-Jan-21
112,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1100,765,13-Jan-21
113,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1100,810,12-Jan-21
114,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1000,780,11-Jan-21
115,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,1000,815,07-Jan-21
116,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,900,785,06-Jan-21
117,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,980,620,05-Jan-21
118,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,1050,750,04-Jan-21
119,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,1000,680,02-Jan-21
120,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,1000,710,31-Dec-20
121,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,410,1100,815,30-Dec-20
122,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,1300,925,29-Dec-20
123,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,450,1100,925,28-Dec-20
124,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1400,1120,26-Dec-20
125,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,1300,1010,24-Dec-20
126,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,550,1300,880,23-Dec-20
127,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,980,715,22-Dec-20
128,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,450,1200,850,21-Dec-20
129,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1000,810,19-Dec-20
130,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1000,680,17-Dec-20
131,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1000,750,16-Dec-20
132,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1100,754,15-Dec-20
133,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1380,970,14-Dec-20
134,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1500,1050,12-Dec-20
135,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,660,1300,890,10-Dec-20
136,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1370,910,09-Dec-20
137,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,680,1400,975,08-Dec-20
138,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,750,1500,1015,07-Dec-20
139,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1650,986,05-Dec-20
140,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1600,1060,02-Dec-20
141,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,700,1400,1102,01-Dec-20
142,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,950,1900,1320,30-Nov-20
143,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1020,2050,1640,28-Nov-20
144,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1000,2100,1670,26-Nov-20
145,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1100,2255,1710,25-Nov-20
146,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1100,2350,1745,24-Nov-20
147,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1100,2300,1750,23-Nov-20
148,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1200,2350,1800,21-Nov-20
149,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1200,2440,1920,19-Nov-20
150,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1200,2425,1945,18-Nov-20
151,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1200,2400,1940,17-Nov-20
152,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,2600,2005,12-Nov-20
153,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1420,2650,2040,11-Nov-20
154,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2850,2150,10-Nov-20
155,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1350,2700,2100,09-Nov-20
156,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2800,2150,07-Nov-20
157,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1430,2600,2040,05-Nov-20
158,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1450,2660,2010,04-Nov-20
159,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2740,2080,03-Nov-20
160,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1540,2680,2054,02-Nov-20
161,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2200,3200,2845,03-Oct-20
162,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,3400,3120,01-Oct-20
163,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2600,3300,2846,30-Sep-20
164,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2580,3200,3005,29-Sep-20
165,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2900,3650,3125,26-Sep-20
166,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,3400,3164,24-Sep-20
167,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,3200,3005,23-Sep-20
168,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2600,3800,3240,22-Sep-20
169,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2710,3500,3154,21-Sep-20
170,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2700,3540,3241,19-Sep-20
171,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2700,3320,3150,16-Sep-20
172,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,3500,3150,15-Sep-20
173,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,3600,3210,14-Sep-20
174,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2940,3800,3245,12-Sep-20
175,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2900,3680,3465,10-Sep-20
176,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3840,3461,09-Sep-20
177,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3800,3461,08-Sep-20
178,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3500,4200,3960,07-Sep-20
179,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3500,4200,3846,05-Sep-20
180,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3100,4000,3900,03-Sep-20
181,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2600,3480,3100,27-Aug-20
182,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2605,3870,3210,24-Aug-20
183,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2700,3800,3260,20-Aug-20
184,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2990,4100,3425,19-Aug-20
185,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3220,4347,3760,18-Aug-20
186,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,3905,3255,17-Aug-20
187,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3429,4320,3750,13-Aug-20
188,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2870,4205,3460,12-Aug-20
189,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,4210,3340,11-Aug-20
190,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2970,3890,3260,10-Aug-20
191,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3007,4000,3126,08-Aug-20
192,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2980,3878,3208,06-Aug-20
193,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2870,3860,3254,05-Aug-20
194,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2890,3897,3340,04-Aug-20
195,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3055,4060,3546,03-Aug-20
196,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3100,4210,3550,01-Aug-20
197,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3030,4100,3530,30-Jul-20
198,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,4100,3565,29-Jul-20
199,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3100,4255,3490,28-Jul-20
200,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3060,4106,3457,27-Jul-20
201,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3050,4100,3560,25-Jul-20
202,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3897,3452,23-Jul-20
203,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3050,3905,3450,22-Jul-20
204,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,3900,3425,21-Jul-20
205,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,4100,3564,20-Jul-20
206,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,4400,4220,19-Jul-20
207,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3800,4000,3910,18-Jul-20
208,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3400,3800,3650,16-Jul-20
209,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3100,3400,3200,15-Jul-20
210,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3600,4000,3846,14-Jul-20
211,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3750,3276,13-Jul-20
212,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,4200,3842,12-Jul-20
213,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3300,4000,3461,11-Jul-20
214,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3200,4200,3461,09-Jul-20
215,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,3500,3080,08-Jul-20
216,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3200,3950,3530,07-Jul-20
217,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,3780,3327,06-Jul-20
218,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3300,4600,3861,04-Jul-20
219,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3500,5425,4230,02-Jul-20
220,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3200,5320,4651,01-Jul-20
221,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3500,5200,4445,30-Jun-20
222,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2800,4800,3718,29-Jun-20
223,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2900,4500,3540,28-Jun-20
224,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,3000,4100,3461,27-Jun-20
225,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2500,3750,3295,25-Jun-20
226,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2200,3600,2951,24-Jun-20
227,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2300,3600,2961,23-Jun-20
228,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2200,3400,2907,22-Jun-20
229,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2300,3500,2863,21-Jun-20
230,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2300,3500,2961,20-Jun-20
231,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,2800,2436,18-Jun-20
232,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,2200,3400,2807,17-Jun-20
233,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1300,2400,1926,16-Jun-20
234,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2500,1852,15-Jun-20
235,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1500,2500,1910,14-Jun-20
236,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1400,1800,1615,13-Jun-20
237,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1200,1540,1350,11-Jun-20
238,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,900,1300,1230,10-Jun-20
239,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,900,1600,1385,09-Jun-20
240,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,900,1200,1050,08-Jun-20
241,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,900,1200,1053,07-Jun-20
242,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1300,1050,06-Jun-20
243,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1300,1000,04-Jun-20
244,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1200,920,03-Jun-20
245,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1200,950,02-Jun-20
246,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1300,1000,01-Jun-20
247,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,650,1000,850,31-May-20
248,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,650,1100,810,30-May-20
249,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1000,815,28-May-20
250,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,900,620,27-May-20
251,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,700,554,26-May-20
252,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,550,415,25-May-20
253,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,590,484,23-May-20
254,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,600,465,21-May-20
255,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,250,410,335,20-May-20
256,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,350,19-May-20
257,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,580,450,18-May-20
258,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,280,660,525,17-May-20
259,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,280,650,510,16-May-20
260,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,250,700,515,14-May-20
261,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,550,13-May-20
262,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,260,450,355,12-May-20
263,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,600,480,11-May-20
264,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,250,600,450,10-May-20
265,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,400,09-May-20
266,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,250,550,370,07-May-20
267,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,450,06-May-20
268,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,600,426,05-May-20
269,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,430,325,04-May-20
270,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,490,342,03-May-20
271,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,400,350,02-May-20
272,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,400,30-Apr-20
273,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,400,300,29-Apr-20
274,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,520,28-Apr-20
275,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,600,500,27-Apr-20
276,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,400,350,26-Apr-20
277,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,400,350,25-Apr-20
278,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,650,600,23-Apr-20
279,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,700,650,22-Apr-20
280,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,550,21-Apr-20
281,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,700,580,20-Apr-20
282,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,480,19-Apr-20
283,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,460,18-Apr-20
284,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,400,300,16-Apr-20
285,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,700,600,15-Apr-20
286,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,500,14-Apr-20
287,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,810,600,13-Apr-20
288,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,800,700,12-Apr-20
289,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,680,615,11-Apr-20
290,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,700,640,09-Apr-20
291,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,700,620,08-Apr-20
292,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,450,700,600,07-Apr-20
293,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,600,515,04-Apr-20
294,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,500,360,02-Apr-20
295,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,700,515,01-Apr-20
296,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,380,880,715,31-Mar-20
297,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,380,1066,814,30-Mar-20
298,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,970,745,26-Mar-20
299,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,430,980,752,24-Mar-20
300,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,980,725,23-Mar-20
